time,pressure,joint0,joint1,joint2,joint3,joint4,joint5,joint6,motor_temp0,motor_temp1,motor_temp2,motor_temp3,motor_temp4,motor_temp5,motor_temp6,sensor_id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
1776184396.4640057,8.4464,-6.498316065073175e-07,-0.653746496549679,0.06929931172888146,-0.062173486148281165,-0.06930083511882518,-0.06217279723717943,-0.06930108264592924,46.0,45.0,42.0,45.0,42.0,46.0,44.0,4,8.4464,0,7.5768,0,0,0,0,0,0,7.5656,0,7.5592
1776184396.4640265,8.4464,-6.498316065073175e-07,-0.653746496549679,0.06929931172888146,-0.062173486148281165,-0.06930083511882518,-0.06217279723717943,-0.06930108264592924,46.0,45.0,42.0,45.0,42.0,46.0,44.0,5,0,0,0,7.5048,0,0,7.3312,0,7.7792,0,0,0
1776184396.4640465,8.4464,-6.498316065073175e-07,-0.653746496549679,0.06929931172888146,-0.062173486148281165,-0.06930083511882518,-0.06217279723717943,-0.06930108264592924,46.0,45.0,42.0,45.0,42.0,46.0,44.0,6,7.9824,0,7.608,0,0,0,0,0,0,8.4,0,7.516
1776184396.4640665,8.4464,-6.498316065073175e-07,-0.653746496549679,0.06929931172888146,-0.062173486148281165,-0.06930083511882518,-0.06217279723717943,-0.06930108264592924,46.0,45.0,42.0,45.0,42.0,46.0,44.0,7,7.5008,0,7.6704,0,0,0,0,0,0,7.5136,0,7.5264
1776184396.4640868,8.4464,-6.498316065073175e-07,-0.653746496549679,0.06929931172888146,-0.062173486148281165,-0.06930083511882518,-0.06217279723717943,-0.06930108264592924,46.0,45.0,42.0,45.0,42.0,46.0,44.0,8,7.5184,0,7.5176,0,0,0,0,0,0,7.5216,0,7.6688
1776184396.5145342,8.4464,-6.498316065073175e-07,-0.6196715666186854,0.10291332549430383,-0.09233001642531555,-0.10291481841644867,-0.09232934129243583,-0.10291506099301065,46.0,45.0,42.0,45.0,42.0,46.0,44.0,0,7.6152,0,8.0264,0,0,0,0,0,0,7.9672,0,8.0016
1776184396.5145633,8.4464,-6.498316065073175e-07,-0.6196715666186854,0.10291332549430383,-0.09233001642531555,-0.10291481841644867,-0.09232934129243583,-0.10291506099301065,46.0,45.0,42.0,45.0,42.0,46.0,44.0,1,0,0,0,7.6776,0,0,7.5456,0,7.7,0,0,0
1776184396.514581,8.4464,-6.498316065073175e-07,-0.6196715666186854,0.10291332549430383,-0.09233001642531555,-0.10291481841644867,-0.09232934129243583,-0.10291506099301065,46.0,45.0,42.0,45.0,42.0,46.0,44.0,2,7.7608,0,7.8168,0,0,0,0,0,0,7.6872,0,7.6456
1776184396.5145984,8.4464,-6.498316065073175e-07,-0.6196715666186854,0.10291332549430383,-0.09233001642531555,-0.10291481841644867,-0.09232934129243583,-0.10291506099301065,46.0,45.0,42.0,45.0,42.0,46.0,44.0,3,0,0,0,7.5064,0,0,7.2288,0,7.9304,0,0,0
1776184396.5146222,8.4464,-6.498316065073175e-07,-0.6196715666186854,0.10291332549430383,-0.09233001642531555,-0.10291481841644867,-0.09232934129243583,-0.10291506099301065,46.0,45.0,42.0,45.0,42.0,46.0,44.0,4,8.4464,0,7.5768,0,0,0,0,0,0,7.5656,0,7.5592
1776184396.5146391,8.4464,-6.498316065073175e-07,-0.6196715666186854,0.10291332549430383,-0.09233001642531555,-0.10291481841644867,-0.09232934129243583,-0.10291506099301065,46.0,45.0,42.0,45.0,42.0,46.0,44.0,5,0,0,0,7.5048,0,0,7.3312,0,7.7792,0,0,0
1776184396.514655,8.4464,-6.498316065073175e-07,-0.6196715666186854,0.10291332549430383,-0.09233001642531555,-0.10291481841644867,-0.09232934129243583,-0.10291506099301065,46.0,45.0,42.0,45.0,42.0,46.0,44.0,6,7.9824,0,7.608,0,0,0,0,0,0,8.4,0,7.516
1776184396.5146716,8.4464,-6.498316065073175e-07,-0.6196715666186854,0.10291332549430383,-0.09233001642531555,-0.10291481841644867,-0.09232934129243583,-0.10291506099301065,46.0,45.0,42.0,45.0,42.0,46.0,44.0,7,7.5008,0,7.6704,0,0,0,0,0,0,7.5136,0,7.5264
1776184396.5146883,8.4464,-6.498316065073175e-07,-0.6196715666186854,0.10291332549430383,-0.09233001642531555,-0.10291481841644867,-0.09232934129243583,-0.10291506099301065,46.0,45.0,42.0,45.0,42.0,46.0,44.0,8,7.5184,0,7.5176,0,0,0,0,0,0,7.5216,0,7.6688
1776184396.5656853,8.448,-6.498316065073175e-07,-0.5862781352863117,0.13585505898441774,-0.12188341609680924,-0.1358565220481197,-0.12188275446658713,-0.13585675977315043,46.0,45.0,42.0,45.0,42.0,46.0,44.0,0,7.6144,0,8.0264,0,0,0,0,0,0,7.9672,0,8.0008
1776184396.5657885,8.448,-6.498316065073175e-07,-0.5862781352863117,0.13585505898441774,-0.12188341609680924,-0.1358565220481197,-0.12188275446658713,-0.13585675977315043,46.0,45.0,42.0,45.0,42.0,46.0,44.0,1,0,0,0,7.6784,0,0,7.5456,0,7.6992,0,0,0
1776184396.5658507,8.448,-6.498316065073175e-07,-0.5862781352863117,0.13585505898441774,-0.12188341609680924,-0.1358565220481197,-0.12188275446658713,-0.13585675977315043,46.0,45.0,42.0,45.0,42.0,46.0,44.0,2,7.76,0,7.8184,0,0,0,0,0,0,7.6872,0,7.6448
1776184396.5659084,8.448,-6.498316065073175e-07,-0.5862781352863117,0.13585505898441774,-0.12188341609680924,-0.1358565220481197,-0.12188275446658713,-0.13585675977315043,46.0,45.0,42.0,45.0,42.0,46.0,44.0,3,0,0,0,7.5056,0,0,7.2312,0,7.9288,0,0,0
1776184396.565964,8.448,-6.498316065073175e-07,-0.5862781352863117,0.13585505898441774,-0.12188341609680924,-0.1358565220481197,-0.12188275446658713,-0.13585675977315043,46.0,45.0,42.0,45.0,42.0,46.0,44.0,4,8.448,0,7.5768,0,0,0,0,0,0,7.5672,0,7.5584
1776184396.566151,8.448,-6.498316065073175e-07,-0.5862781352863117,0.13585505898441774,-0.12188341609680924,-0.1358565220481197,-0.12188275446658713,-0.13585675977315043,46.0,45.0,42.0,45.0,42.0,46.0,44.0,5,0,0,0,7.5048,0,0,7.3288,0,7.7792,0,0,0
1776184396.566212,8.448,-6.498316065073175e-07,-0.5862781352863117,0.13585505898441774,-0.12188341609680924,-0.1358565220481197,-0.12188275446658713,-0.13585675977315043,46.0,45.0,42.0,45.0,42.0,46.0,44.0,6,7.9824,0,7.608,0,0,0,0,0,0,8.4008,0,7.516
1776184396.5663202,8.448,-6.498316065073175e-07,-0.5862781352863117,0.13585505898441774,-0.12188341609680924,-0.1358565220481197,-0.12188275446658713,-0.13585675977315043,46.0,45.0,42.0,45.0,42.0,46.0,44.0,7,7.5008,0,7.6704,0,0,0,0,0,0,7.5152,0,7.5272
1776184396.5663784,8.448,-6.498316065073175e-07,-0.5862781352863117,0.13585505898441774,-0.12188341609680924,-0.1358565220481197,-0.12188275446658713,-0.13585675977315043,46.0,45.0,42.0,45.0,42.0,46.0,44.0,8,7.5176,0,7.5176,0,0,0,0,0,0,7.5216,0,7.668
1776184396.61703,8.448,-6.498316065073175e-07,-0.5535525725805854,0.1681379578047294,-0.15084574777487306,-0.16813939160715732,-0.15084509937725538,-0.1681396245776874,46.0,45.0,42.0,45.0,42.0,46.0,44.0,0,7.6144,0,8.0264,0,0,0,0,0,0,7.9672,0,8.0008
1776184396.6170774,8.448,-6.498316065073175e-07,-0.5535525725805854,0.1681379578047294,-0.15084574777487306,-0.16813939160715732,-0.15084509937725538,-0.1681396245776874,46.0,45.0,42.0,45.0,42.0,46.0,44.0,1,0,0,0,7.6784,0,0,7.5456,0,7.6992,0,0,0
1776184396.6171064,8.448,-6.498316065073175e-07,-0.5535525725805854,0.1681379578047294,-0.15084574777487306,-0.16813939160715732,-0.15084509937725538,-0.1681396245776874,46.0,45.0,42.0,45.0,42.0,46.0,44.0,2,7.76,0,7.8184,0,0,0,0,0,0,7.6872,0,7.6448
1776184396.6171348,8.448,-6.498316065073175e-07,-0.5535525725805854,0.1681379578047294,-0.15084574777487306,-0.16813939160715732,-0.15084509937725538,-0.1681396245776874,46.0,45.0,42.0,45.0,42.0,46.0,44.0,3,0,0,0,7.5056,0,0,7.2312,0,7.9288,0,0,0
1776184396.617161,8.448,-6.498316065073175e-07,-0.5535525725805854,0.1681379578047294,-0.15084574777487306,-0.16813939160715732,-0.15084509937725538,-0.1681396245776874,46.0,45.0,42.0,45.0,42.0,46.0,44.0,4,8.448,0,7.5768,0,0,0,0,0,0,7.5672,0,7.5584
1776184396.6171873,8.448,-6.498316065073175e-07,-0.5535525725805854,0.1681379578047294,-0.15084574777487306,-0.16813939160715732,-0.15084509937725538,-0.1681396245776874,46.0,45.0,42.0,45.0,42.0,46.0,44.0,5,0,0,0,7.5048,0,0,7.3288,0,7.7792,0,0,0
1776184396.6172132,8.448,-6.498316065073175e-07,-0.5535525725805854,0.1681379578047294,-0.15084574777487306,-0.16813939160715732,-0.15084509937725538,-0.1681396245776874,46.0,45.0,42.0,45.0,42.0,46.0,44.0,6,7.9824,0,7.608,0,0,0,0,0,0,8.4008,0,7.516
1776184396.61724,8.448,-6.498316065073175e-07,-0.5535525725805854,0.1681379578047294,-0.15084574777487306,-0.16813939160715732,-0.15084509937725538,-0.1681396245776874,46.0,45.0,42.0,45.0,42.0,46.0,44.0,7,7.5008,0,7.6704,0,0,0,0,0,0,7.5152,0,7.5272
1776184396.6172664,8.448,-6.498316065073175e-07,-0.5535525725805854,0.1681379578047294,-0.15084574777487306,-0.16813939160715732,-0.15084509937725538,-0.1681396245776874,46.0,45.0,42.0,45.0,42.0,46.0,44.0,8,7.5176,0,7.5176,0,0,0,0,0,0,7.5216,0,7.668
1776184396.668132,8.448,-6.498316065073175e-07,-0.5214815211289737,0.1997751986486348,-0.1792288328193756,-0.19977660377501416,-0.17922819738971027,-0.19977683208613367,46.0,45.0,42.0,45.0,42.0,46.0,44.0,0,7.6144,0,8.0264,0,0,0,0,0,0,7.9672,0,8.0008
1776184396.6682243,8.448,-6.498316065073175e-07,-0.5214815211289737,0.1997751986486348,-0.1792288328193756,-0.19977660377501416,-0.17922819738971027,-0.19977683208613367,46.0,45.0,42.0,45.0,42.0,46.0,44.0,1,0,0,0,7.6784,0,0,7.5456,0,7.6992,0,0,0
1776184396.6682851,8.448,-6.498316065073175e-07,-0.5214815211289737,0.1997751986486348,-0.1792288328193756,-0.19977660377501416,-0.17922819738971027,-0.19977683208613367,46.0,45.0,42.0,45.0,42.0,46.0,44.0,2,7.76,0,7.8184,0,0,0,0,0,0,7.6872,0,7.6448
1776184396.6683433,8.448,-6.498316065073175e-07,-0.5214815211289737,0.1997751986486348,-0.1792288328193756,-0.19977660377501416,-0.17922819738971027,-0.19977683208613367,46.0,45.0,42.0,45.0,42.0,46.0,44.0,3,0,0,0,7.5056,0,0,7.2312,0,7.9288,0,0,0
1776184396.6683981,8.448,-6.498316065073175e-07,-0.5214815211289737,0.1997751986486348,-0.1792288328193756,-0.19977660377501416,-0.17922819738971027,-0.19977683208613367,46.0,45.0,42.0,45.0,42.0,46.0,44.0,4,8.448,0,7.5768,0,0,0,0,0,0,7.5672,0,7.5584
1776184396.6684544,8.448,-6.498316065073175e-07,-0.5214815211289737,0.1997751986486348,-0.1792288328193756,-0.19977660377501416,-0.17922819738971027,-0.19977683208613367,46.0,45.0,42.0,45.0,42.0,46.0,44.0,5,0,0,0,7.5048,0,0,7.3288,0,7.7792,0,0,0
1776184396.6685088,8.448,-6.498316065073175e-07,-0.5214815211289737,0.1997751986486348,-0.1792288328193756,-0.19977660377501416,-0.17922819738971027,-0.19977683208613367,46.0,45.0,42.0,45.0,42.0,46.0,44.0,6,7.9824,0,7.608,0,0,0,0,0,0,8.4008,0,7.516
1776184396.6685643,8.448,-6.498316065073175e-07,-0.5214815211289737,0.1997751986486348,-0.1792288328193756,-0.19977660377501416,-0.17922819738971027,-0.19977683208613367,46.0,45.0,42.0,45.0,42.0,46.0,44.0,7,7.5008,0,7.6704,0,0,0,0,0,0,7.5152,0,7.5272
