time,step,sensor_id,joint0,joint1,joint2,joint3,joint4,joint5,joint6,motor_temp0,motor_temp1,motor_temp2,motor_temp3,motor_temp4,motor_temp5,motor_temp6,sensor_temp,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
1773868957.4890223,0.05128205128205128,1,0.0,-0.12811794871794868,0.5878205128205128,-0.5273589743589744,-0.5878205128205128,-0.5273589743589744,-0.5878205128205128,47.0,49.0,44.0,46.0,41.0,47.0,43.0,0.0,0,0,0,7.7032,0,0,7.5592,0,7.7192,0,0,0
1773868957.4897273,0.05128205128205128,2,0.0,-0.12811794871794868,0.5878205128205128,-0.5273589743589744,-0.5878205128205128,-0.5273589743589744,-0.5878205128205128,47.0,49.0,44.0,46.0,41.0,47.0,43.0,37.0,7.6656,0,7.0336,0,0,0,0,0,0,7.6376,0,7.4984
1773868957.4903479,0.05128205128205128,3,0.0,-0.12811794871794868,0.5878205128205128,-0.5273589743589744,-0.5878205128205128,-0.5273589743589744,-0.5878205128205128,47.0,49.0,44.0,46.0,41.0,47.0,43.0,0.0,0,0,0,7.4568,0,0,7.2672,0,7.7472,0,0,0
1773868957.4910002,0.05128205128205128,4,0.0,-0.12811794871794868,0.5878205128205128,-0.5273589743589744,-0.5878205128205128,-0.5273589743589744,-0.5878205128205128,47.0,49.0,44.0,46.0,41.0,47.0,43.0,37.0,8.4816,0,7.372,0,0,0,0,0,0,7.4792,0,7.4664
1773868957.4915738,0.05128205128205128,5,0.0,-0.12811794871794868,0.5878205128205128,-0.5273589743589744,-0.5878205128205128,-0.5273589743589744,-0.5878205128205128,47.0,49.0,44.0,46.0,41.0,47.0,43.0,0.0,0,0,0,7.4608,0,0,7.3552,0,7.7376,0,0,0
1773868957.4921577,0.05128205128205128,6,0.0,-0.12811794871794868,0.5878205128205128,-0.5273589743589744,-0.5878205128205128,-0.5273589743589744,-0.5878205128205128,47.0,49.0,44.0,46.0,41.0,47.0,43.0,40.0,7.9024,0,7.5456,0,0,0,0,0,0,8.3568,0,7.4656
1773868957.4927435,0.05128205128205128,7,0.0,-0.12811794871794868,0.5878205128205128,-0.5273589743589744,-0.5878205128205128,-0.5273589743589744,-0.5878205128205128,47.0,49.0,44.0,46.0,41.0,47.0,43.0,41.0,7.488,0,7.68,0,0,0,0,0,0,7.4616,0,7.4768
1773868957.4935539,0.05128205128205128,8,0.0,-0.12811794871794868,0.5878205128205128,-0.5273589743589744,-0.5878205128205128,-0.5273589743589744,-0.5878205128205128,47.0,49.0,44.0,46.0,41.0,47.0,43.0,41.0,7.4648,0,7.4824,0,0,0,0,0,0,7.4784,0,7.6912
1773868957.695873,0.07692307692307693,0,0.0,-0.09627692307692304,0.6192307692307693,-0.5555384615384615,-0.6192307692307693,-0.5555384615384615,-0.6192307692307693,47.0,49.0,44.0,46.0,41.0,47.0,43.0,40.0,7.6056,0,8.0216,0,0,0,0,0,0,7.952,0,7.868
1773868957.6975057,0.07692307692307693,1,0.0,-0.09627692307692304,0.6192307692307693,-0.5555384615384615,-0.6192307692307693,-0.5555384615384615,-0.6192307692307693,47.0,49.0,44.0,46.0,41.0,47.0,43.0,0.0,0,0,0,7.7032,0,0,7.56,0,7.72,0,0,0
1773868957.6990163,0.07692307692307693,2,0.0,-0.09627692307692304,0.6192307692307693,-0.5555384615384615,-0.6192307692307693,-0.5555384615384615,-0.6192307692307693,47.0,49.0,44.0,46.0,41.0,47.0,43.0,37.0,7.6648,0,7.032,0,0,0,0,0,0,7.6384,0,7.4984
1773868957.7005062,0.07692307692307693,3,0.0,-0.09627692307692304,0.6192307692307693,-0.5555384615384615,-0.6192307692307693,-0.5555384615384615,-0.6192307692307693,47.0,49.0,44.0,46.0,41.0,47.0,43.0,0.0,0,0,0,7.4568,0,0,7.2664,0,7.748,0,0,0
1773868957.7025352,0.07692307692307693,4,0.0,-0.09627692307692304,0.6192307692307693,-0.5555384615384615,-0.6192307692307693,-0.5555384615384615,-0.6192307692307693,47.0,49.0,44.0,46.0,41.0,47.0,43.0,37.0,8.4808,0,7.3712,0,0,0,0,0,0,7.4776,0,7.4672
1773868957.7062159,0.07692307692307693,5,0.0,-0.09627692307692304,0.6192307692307693,-0.5555384615384615,-0.6192307692307693,-0.5555384615384615,-0.6192307692307693,47.0,49.0,44.0,46.0,41.0,47.0,43.0,0.0,0,0,0,7.4608,0,0,7.3552,0,7.7376,0,0,0
1773868957.7085059,0.07692307692307693,6,0.0,-0.09627692307692304,0.6192307692307693,-0.5555384615384615,-0.6192307692307693,-0.5555384615384615,-0.6192307692307693,47.0,49.0,44.0,46.0,41.0,47.0,43.0,40.0,7.9016,0,7.5456,0,0,0,0,0,0,8.3568,0,7.4672
1773868957.710808,0.07692307692307693,7,0.0,-0.09627692307692304,0.6192307692307693,-0.5555384615384615,-0.6192307692307693,-0.5555384615384615,-0.6192307692307693,47.0,49.0,44.0,46.0,41.0,47.0,43.0,41.0,7.488,0,7.68,0,0,0,0,0,0,7.4624,0,7.4776
1773868957.7143126,0.07692307692307693,8,0.0,-0.09627692307692304,0.6192307692307693,-0.5555384615384615,-0.6192307692307693,-0.5555384615384615,-0.6192307692307693,47.0,49.0,44.0,46.0,41.0,47.0,43.0,41.0,7.4656,0,7.4816,0,0,0,0,0,0,7.4792,0,7.6896
1773868957.9184864,0.10256410256410256,0,0.0,-0.06443589743589742,0.6506410256410257,-0.5837179487179487,-0.6506410256410257,-0.5837179487179487,-0.6506410256410257,47.0,49.0,44.0,46.0,41.0,47.0,43.0,40.0,7.6064,0,8.0208,0,0,0,0,0,0,7.9528,0,7.868
1773868957.9201305,0.10256410256410256,1,0.0,-0.06443589743589742,0.6506410256410257,-0.5837179487179487,-0.6506410256410257,-0.5837179487179487,-0.6506410256410257,47.0,49.0,44.0,46.0,41.0,47.0,43.0,0.0,0,0,0,7.704,0,0,7.5608,0,7.7216,0,0,0
1773868957.9215262,0.10256410256410256,2,0.0,-0.06443589743589742,0.6506410256410257,-0.5837179487179487,-0.6506410256410257,-0.5837179487179487,-0.6506410256410257,47.0,49.0,44.0,46.0,41.0,47.0,43.0,37.0,7.664,0,7.0336,0,0,0,0,0,0,7.6368,0,7.4976
1773868957.9228916,0.10256410256410256,3,0.0,-0.06443589743589742,0.6506410256410257,-0.5837179487179487,-0.6506410256410257,-0.5837179487179487,-0.6506410256410257,47.0,49.0,44.0,46.0,41.0,47.0,43.0,0.0,0,0,0,7.4576,0,0,7.2664,0,7.748,0,0,0
1773868957.924098,0.10256410256410256,4,0.0,-0.06443589743589742,0.6506410256410257,-0.5837179487179487,-0.6506410256410257,-0.5837179487179487,-0.6506410256410257,47.0,49.0,44.0,46.0,41.0,47.0,43.0,37.0,8.4816,0,7.3704,0,0,0,0,0,0,7.4792,0,7.4672
1773868957.9252756,0.10256410256410256,5,0.0,-0.06443589743589742,0.6506410256410257,-0.5837179487179487,-0.6506410256410257,-0.5837179487179487,-0.6506410256410257,47.0,49.0,44.0,46.0,41.0,47.0,43.0,0.0,0,0,0,7.4616,0,0,7.3552,0,7.736,0,0,0
